epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3246,1.38792,3.13116,1.34046,0.00333,1,0.771,0.48956,1.10007,2.8222,1.11967,0.0003,0.0003,0.0003
2,59.684,1.24801,2.12004,1.21523,1,0.29076,0.86138,0.57126,1.07876,2.48247,1.0746,0.00058931,0.00058931,0.00058931
3,63.9165,1.13807,1.89089,1.16146,0.75674,0.20094,0.41667,0.25245,1.5144,3.01116,1.42006,0.00084694,0.00084694,0.00084694
4,68.1102,1.12533,1.86249,1.15326,0.77432,0.27679,0.52224,0.31347,1.55807,2.87731,1.36836,0.00107289,0.00107289,0.00107289
5,72.213,1.08063,1.74703,1.1175,0.93579,0.23531,0.57157,0.42329,1.28255,2.77275,1.188,0.00126716,0.00126716,0.00126716
6,76.3758,1.10681,1.59816,1.13484,0.78999,0.58065,0.71011,0.50757,1.07639,2.14259,1.06383,0.00142975,0.00142975,0.00142975
7,80.4987,1.00593,1.3873,1.08394,0.43277,0.59677,0.52842,0.3489,1.13314,2.19199,1.12506,0.001406,0.001406,0.001406
8,84.5698,1.02097,1.38182,1.08353,0.6653,0.66129,0.71099,0.44039,1.18488,1.89574,1.27141,0.001307,0.001307,0.001307
9,88.6459,0.97219,1.23254,1.07593,0.75701,0.6129,0.69879,0.42177,1.21723,1.60403,1.17355,0.001208,0.001208,0.001208
10,92.6902,1.0318,1.31761,1.088,0.84809,0.81046,0.89868,0.65263,0.97823,1.10149,1.06619,0.001109,0.001109,0.001109
11,135.338,0.85366,1.38713,1.00335,0.82862,0.77991,0.87214,0.6701,0.96528,1.03795,1.04291,0.00101,0.00101,0.00101
12,139.653,0.80733,1.28493,0.98202,0.94065,0.76703,0.87386,0.63396,0.98246,0.9953,1.05668,0.000911,0.000911,0.000911
13,143.619,0.77073,1.18526,0.95424,0.89535,0.87097,0.95008,0.69181,0.90699,0.84158,0.98756,0.000812,0.000812,0.000812
14,147.603,0.75666,1.06376,0.97212,0.9282,0.83416,0.93632,0.73672,0.78341,0.78038,0.93094,0.000713,0.000713,0.000713
15,151.583,0.78475,1.01785,0.97239,0.96893,0.82258,0.94229,0.73598,0.78527,0.78138,0.94227,0.000614,0.000614,0.000614
16,155.575,0.72654,0.95927,0.93201,0.99161,0.8871,0.97393,0.78315,0.74363,0.68472,0.92546,0.000515,0.000515,0.000515
17,159.544,0.62769,0.88468,0.92128,0.95962,0.95161,0.99071,0.79397,0.72703,0.63055,0.91192,0.000416,0.000416,0.000416
18,163.589,0.63957,0.85463,0.90784,0.98273,0.91791,0.97997,0.79917,0.7075,0.65163,0.90617,0.000317,0.000317,0.000317
19,167.619,0.59954,0.81697,0.89847,0.96488,0.91935,0.97679,0.8018,0.68053,0.60656,0.90065,0.000218,0.000218,0.000218
20,171.604,0.58357,0.79344,0.884,0.97825,0.8871,0.97486,0.79707,0.7,0.60497,0.90945,0.000119,0.000119,0.000119
